Ejercicio,Estado,Patrón,Tipo,Implementación principal,Músculos primarios trabajados,Músculos secundarios trabajados,Plano,Explicación del ejercicio,URL de YouTube
Air Squat,,Sentadilla,Peso corporal,Ninguno,"Cuádriceps, Glúteos Isquiotibiales",Hamstrings,Sagital,"Doblando las rodillas y llevándolas hacia adelante mientras se baja la cadera sentando las caderas hacia atrás y hacia abajo, manteniendo la columna lo más vertical posible y los talones plantados a t Airdyne comienza sentado en la máquina con ambos pies en la postura adecuada Monoestructura Airdyne hecha Peso Corporal Airdyne Cuádriceps, Isquiotibiales Deltoides Anteriores, Romboides Sagital pedales y ambas manos sujetando las agarraderas. Para iniciar el movimiento,",https://www.youtube.com/watch?v=lmtBAVuQb3E
Airdyne,,Sentadilla,Peso corporal,Ninguno,"Cuádriceps, Glúteos Isquiotibiales Sagital https://www.youtube.com/watch?v=lmtBAVuQb3E doblando las rodillas y llevándolas hacia adelante mientras se baja la cadera sentando las caderas hacia atrás y hacia abajo","manteniendo la columna lo más vertical posible y los talones plantados a t Airdyne comienza sentado en la máquina con ambos pies en la postura adecuada Monoestructura Airdyne hecha Peso Corporal Airdyne Cuádriceps, Isquiotibiales Deltoides Anteriores, Romboides",Sagital,Comience pedaleando mientras empuja y tira de las agarraderas.,https://www.youtube.com/watch?v=wvigNWUCuk4
Press de Banca con Mancuernas en Declive Alternante hecha,,Empuje,Carga externa,Mancuernas,Pec Minor,Pec Minor,Sagital,Tríceps en algún punto entre supinado y neutro (piensa en una pendiente hacia abajo),https://www.youtube.com/watch?v=EK3tHzgVya8
Press de Banca con Mancuernas en Declive Alternante hecha,,Empuje,Carga externa,Mancuernas,Pec Minor,"Hamstrings, Abductors",Sagital,Hacia una sentadilla curtsy fuera de la superficie elevada. Empuja hacia arriba a través del,https://www.youtube.com/watch?v=4eA08uuktFw
Curtsy con Mancuernas de Déficit Alternante hecha,,Una pierna,Carga externa,Mancuerna,"Glúteos, Cuádriceps Isquiotibiales","Abductores Transverso superficie. Comienza dando un paso una pierna hacia atrás y detrás de la pierna estacionariahttps://www.youtube.com/watch?v=4eA08uuktFw hacia una sentadilla curtsy fuera de la superficie elevada. Empuja hacia arriba a través del pierna de soporte de nuevo a una posición de pie La Remo con Mancuernas en Vuelta Alternante empieza de pie con los pies a la anchura de cadera, sosteniendo una mancuerna en cada mano a los lados. Luego, Remo con Mancuernas en Vuelta Alternante hecha Jalar Carga Externa Mancuerna Latísimo Dorsal, Bíceps Romboides, Erector Spinae",Sagital,"Directamente debajo de los hombros. A continuación, eleva una mancuerna hasta la",https://www.youtube.com/watch?v=FJwZhUfR4XM
Los codos deben estar Curl de Mancuerna Alterno,hecho,Jalar,Carga externa,Mancuerna,"Bíceps, Braquial Braquiorradial",Brachioradialis,Sagital,"Supinación. Para iniciar el movimiento, comienza a girar el codo de un brazo y jala la palma hacia arriba hacia El Press de Empuje con Mancuerna Alterno comienza de pie con una mancuerna en cada mano, colocada justo por encima de los hombros, con las manos en una Deltoides Anteriores, Deltoides Mediales, Press de Empuje con Mancuerna Alterno",https://www.youtube.com/watch?v=b2J2wuZVqKk
Press de Empuje con Mancuerna Alterno,hecho,Empujar,Carga externa,Mancuerna,"Cuádriceps, Glúteos",,Sagital,CSh4hVOg Tríceps generar fuerza y impulso desde los cuádriceps y luego extender,https://www.youtube.com/watch?v=zZ
Thruster con Mancuerna Alterno,hecho,Empujar,Explosividad,Mancuerna,"Tríceps, Isquiotibiales","Triceps, Hamstrings",Sagital,"Tríceps empuja desde los talones para ponerse de pie y extender hacia arriba y presionar un directamente por encima. Con control, lo La Remada con Pesas Ruedas Alterna Inicia sujetando 2 kettlebells en cualquier mano y entrando en una posición de acordeón alta, con brazos cargados Dorsal ancho, Bíceps, Remada con Kettlebell Alterna",https://www.youtube.com/watch?v=NI9qL5UlxUI
Remada con Kettlebell Alterna,hecho,Jalar,Carga externa,Kettlebell,"Bíceps, Deltoides Posteriores","Biceps, Posterior Deltoids",Sagital,"Romboides la parte superior del cuerpo está ya horizontal con el suelo, o a 45 grados",https://www.youtube.com/watch?v=CIg3ERVCUmo
Alternating Kettlebell Thruster,hecho,Empujar,Explosividad,Kettlebell,"Cuádriceps, Glúteos, Deltoides AnterioresTríceps,",Isquiotibiales,Sagital,Través de los talones para levantarte y extenderte hacia arriba mientras empujas un brazo,https://www.youtube.com/watch?v=PStxLm0V3hc
Lleva los,hecho,Jalar,Peso corporal,Ninguno,"Romboides, tríceps",,Frontal,Rmjyv0 Romboides de la espalda. Lleva los brazos de nuevo a la posición de poste y rota el segundo,https://www.youtube.com/watch?v=X-Ul
Alternating Seated Dumbbell Shoulder Press,hecho,Empujar,Carga externa,Mancuerna,Pectoral mayor,Pec Major,Sagital,Tríceps un ángulo de 45 grados y las palmas en ese mismo ángulo. Manteniendo la columna,https://www.youtube.com/watch?v=uPuKk2mspuQ
Manteniendo la columna,hecho,Jalar,Peso corporal,Barra de dominadas,"Recto abdominal, cuádriceps","Rectus Abdominis, Quadriceps",Sagital,Braquial mano libre de nuevo a la barra y quita la otra mano y baja,https://www.youtube.com/watch?v=FPeUg1r4900
Alternating Standing Dumbbell Hammer Curl,hecho,Jalar,Carga externa,Mancuerna,"Bíceps, braquial Braquiorradial",Brachioradialis,Sagital,Cabeza erguida y el core moderadamente activado.,https://www.youtube.com/watch?v=TUhC873MuQ4
V-Up alterno,hecho,Core,Peso corporal,Ninguno,"Recto abdominal, flexores de cadera Cuádriceps",Quadriceps,Sagital,Tus bíceps junto a las orejas.,https://www.youtube.com/watch?v=V6zE3y5yTQ0
Swing con kettlebell americano,hecho,Doblar,Explosividad,Kettlebell,"Isquiotibiales, glúteos, erector de la columna","deltoides anterior, tríceps, core",Sagital,Manejar. Mantén el core contraído y la columna neutral a lo largo de la,https://www.youtube.com/watch?v=0exWZf0C970
Anchored Reverse Crunch,hecho,Núcleo,Peso corporal,Barra,"anclada Recto Abdominis, flexores de la cadera Cuádriceps",Quadriceps,Sagital,"Hacia el pecho, tan alto como puedas y lo más cercano posible al pecho para un máximo compromiso. Luego, suelta los talones hacia abajo t Ejercicio Estado Patrón Tipo Implemento principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=6MuGXqMr7I0
Sit-Up Anclado,hecho,Núcleo,Peso corporal,Mancuerna,"Recto abdominal, flexores de la cadera, Psoas Flexor de la cadera,",psoas,Sagital,"Rodillas. Luego, con control, baja la columna vértebra por vértebra hasta el suelo",https://www.youtube.com/watch?v=sv1RlndwPTA
Sit-Up Anclado con Peso,hecho,Núcleo,Carga externa,Mancuerna,"Recto abdominal, flexores de la cadera, Psoas Cuádriceps",Quadriceps,Sagital,Sujeta los lados con peso de la mancuerna y mantenla pegada al pecho con,https://www.youtube.com/watch?v=Zk-P8eixc6s
CAR de tobillo,hecho,Una pierna,Estabilidad,Ninguno,"Gastronemio, tibial, sóleo Tendón de Aquiles",Achilles Tendon,Transversal,Parte posterior de la pierna y manteniendo un agarre en gancho.,https://www.youtube.com/watch?v=AMTX0Bv6l78
Al realizar estos,hecho,Una pierna,Carga externa,Kettlebell,"Cuádriceps, Isquiotibiales glúteo mayor, Deltoides posteriores, trapecio superio",r Sagital con una kettlebell en cada mano en la posición de rack,Frontal,"Banda envuelta alrededor de la pantorrilla, de pie lo suficientemente lejos para sentir una",https://www.youtube.com/watch?v=Jyah1ostgxw
Sentadilla Dividida RNT Anterior,hecho,Una pierna,Carga externa,Banda,"Cuádriceps, Isquiotibiales glúteo mayor, Isquiotibiales banda atada a una barra vertical y el otro extremo de la banda envuelto",Hamstrings,Sagital,"Suficientemente atrás para comenzar con tensión en la banda. Para iniciar el movimiento, comienza a flexionar en el",https://www.youtube.com/watch?v=QbI2hUGQ0Wk
Atarás una banda elástica a la barra en Sentadilla dividida anti-rotación,hecho,Una pierna,Carga externa,Banda,"Cuádriceps, glúteo mayor, Isquiotibiales Flexores de cadera",Hip Flexors,Sagital,"Comienza con el pie derecho adelante y el izquierdo atrás en una estocada de rodillas pEl Arch Hold comienza acostado boca abajo en el suelo, con las piernas extendidas y Arch Hold",https://www.youtube.com/watch?v=Q2dudMVw9eE
Arch Hold,hecho,Core,Peso corporal,Ninguno,"Recto abdominal, erector de la columna Dorsal Deltoides ancho","escápulas, parte posterior Sagital brazos movimiento, extendidos empuja por encima los puntos de la cabeza,",Frontal,"Pecho, las piernas y los brazos fuera del suelo y mantén.",https://www.youtube.com/watch?v=wQdKFbKKjcI
Arch Rock,hecho,Core,Peso corporal,Ninguno,"Recto abdominal, erector de la columna Dorsal Deltoides ancho","escápulas, parte posterior Sagital brazos extendidos por encima de la cabeza, con las palmas hacia abajo. Para iniciar el movimiento, empuja los puntos",Frontal,"Pecho, las piernas y los brazos fuera del suelo manteniendo esta forma, comienza a balancear el cuerpo hacia adelante y hacia atrás contra el suelo de manera constante.",https://www.youtube.com/watch?v=7eluESd2YaI
Dominada Archer,re-film,Jalar,Peso corporal,Barra de dominadas,"Dorsal ancho, bíceps Escápulas, tríceps",,Frontal,"LAfPo manteniéndolo recto y encontrando una pequeña rotación interna a través del hombro. Luego,",https://www.youtube.com/watch?v=wAdyK
Flexión Archer,hecho,Empujar,Peso corporal,Ninguno,"Pecho mayor, Deltoides anteriores Tríceps,",Recto abdominal,Frontal,"Las puntas de los dedos, tensa el core y comienza a empujar desde el suelo, con",https://www.youtube.com/watch?v=Wbgwx1lpYfo
Archer Ring Pull-Up,re-film,Jalar,Peso corporal,Anillos,"Dorsal ancho, Bíceps, Romboides Escápulas,",Tríceps,Frontal,"Recto, . y encontrando una ligera rotación interna en el hombro. Luego",https://www.youtube.com/watch?v=g62uFt0ZW20
Archer Ring Push-Up,hecho,Empujar,Peso corporal,Anillos,"Pecho Tríceps mayor, Deltoides anteriores, Escápulas pero con las manos aferradas a los anillos de gimnasia",con las asas de los anillos justo,Frontal,Palmas mirándose entre sí.,https://www.youtube.com/watch?v=RB1EfKwh4dY
Superman detenido,hecho,Core,Peso corporal,Ninguno,"Erector espinal, Glúteos Dorsal Deltoides","ancho, Isquiotibiales Escápula, Espalda遙 Sagital extendidas y manos entrelazadas detrás de la cabeza con codos abiertos ancha. Para iniciar el movimiento, empuja los puntos de la cadera",Frontal,"Suelo y levanta el pecho, las piernas y los brazos alejándolos del suelo y mantén.",https://www.youtube.com/watch?v=WLbgib8o86w
Sentadilla cosaca asistida,hecho,Una pierna,Peso corporal,Barra,"anclada Glúteos, Erectores, Isquiotibiales, Cuádriceps Espinal Trapecios las manos aferradas a una barra vertical delante del cuerpo. Para iniciar el",Traps,Frontal,Bajar la barra para obtener ayuda mientras haces la sentadilla y mantén el talón de cuando te agachas,https://www.youtube.com/watch?v=P2rVFn2DfxQ
Dips asistidos con compañero,hecho,Empujar,Peso corporal,barra,"de dips Pectoral mayor, deltoides anterior Tríceps, Abdominale","s Supraespinoso, Recto",Sagital,"Palmas debajo de las espinillas. Para iniciar el movimiento, baja el cuerpo",https://www.youtube.com/watch?v=pS2NAn-ygAI
Handstand asistido en posición libre,hecho,Empujar,Peso corporal,Ninguno,"Tríceps, Abdominales, Extensores Deltos del antebrazo, Recto dGslutes",dGslutes,Sagital,Cara a ellos) para dar retroalimentación táctil a las piernas de modo que el cuerpo permanezca en la alineación correcta. Ejercicio Estado Patrón Tipo Implemento principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube,https://www.youtube.com/watch?v=AI4eHdoEGPI
Airplane de cadera asistido,hecho,Flexión,Peso corporal,Barra,"anclada Flexores de cadera, abductores, aductores",glúteos,Transversal,"Las caderas para llevar la pierna elevada a apilarse sobre la pierna de apoyo anclada. El Muscle-Up asistido en anillas requiere un observador. Para prepararte, agarra un par de anillas de gimnasia y encuentra tu agarre falso, donde los antebrazos pueden sujetar Muscle-Up asistido en anillas regrabar Jalar Peso corporal Anillas Dorsal ancho, bíceps, tríceps Escápulas, pectoral mayor, tríceps Sagital las anillas también. Con tu observador sujetando tus piernas y ayudando a",https://www.youtube.com/watch?v=HB6N3qzD5N4
Assisted Ring Muscle-Up,hecho,Flexión,Peso corporal,Barra,"anclada Flexores de cadera, abductores, aductores","glúteos Transversal línea con la parte superior del cuerpo, de modo que el torso y la pierna elevada estén paralelos con el suelo. Para iniciar el movimiento, comienza a rotar a través de https://www.youtube.com/watch?v=HB6N3qzD5N4 las caderas para llevar la pierna elevada a apilarse sobre la pierna de apoyo anclada. El Muscle-Up asistido en anillas requiere un observador. Para prepararte, agarra un par de anillas de gimnasia y encuentra tu agarre falso, donde los antebrazos pueden sujetar Muscle-Up asistido en anillas regrabar Jalar Peso corporal Anillas Dorsal ancho, bíceps, tríceps Escápulas, pectoral mayor, tríceps",Sagital,"Impulsarte hacia arriba, comenzarás a subir manteniendo los codos cerca de el cuerpo, y luego, con",https://www.youtube.com/watch?v=en91Csr2VU8
El punto principal Colgado pasivo asistido,hecho,Jalar,Peso corporal,Barra de dominadas,"Dorsal ancho, escápulas, bíceps","tríceps, romboides",Sagital,"Suficientemente, o coloca una caja debajo de la barra para que los dedos puedan apoyarse",https://www.youtube.com/watch?v=GMiQ0rx99dc
Sentadilla pistol asistida,hecho,Pierna única,Peso corporal,Banda,"Cuádriceps, Tibial glúteos, isquiotibiales, Gastrocnemio sujetan una banda elástica con asas. Comienza levantando un pie del",Gastrocnemius,Sagital,Hasta el fondo de la sentadilla sobre la pierna de apoyo. Las asas en,https://www.youtube.com/watch?v=SEWsBHDVWig
Sentadilla ATG,hecho,Sentadilla,Carga externa,Barra,"Cuádriceps, glúteos, isquiotibialesErectores espinales",Erector Spinae,Sagital,"Hasta que los isquiotibiales toquen la parte posterior de las pantorrillas, sin redondear la",https://www.youtube.com/watch?v=lFMEWK9nJHg
Sentadilla dividida ATG,hecho,Una pierna,Peso corporal,Disco,"Cuádriceps, glúteos, isquiotibiales, Erectores espinales, tibial anterio",r Flexores de cadera,Sagital,Movimiento impulsando las caderas y la rodilla delantera hacia adelante y bajando la rodilla trasera,https://www.youtube.com/watch?v=SpOUihF3DCw
Piedra Atlas al hombro volver a grabar,,Flexión,Carga externa,Piedra,"Atlas Isquiotibiales, glúteos, erectores espinales","bíceps, dorsal ancho, oblicuos,",Sagital,"Manteniendo la espalda recta, llevando el torso paralelo al suelo, y p",https://www.youtube.com/watch?v=fcRXtB629Gc
Press de banca con barra gruesa,hecho,Empuje,Carga externa,Barra,"gruesa Pectoral Tríceps mayor, deltoides anterior, Recto abdominal",Rectus Abdominis,Sagital,"Permite . que los codos se abran a unos 45 grados del cuerpo. Luego, empu",https://www.youtube.com/watch?v=YEyzfnNUGqI
Las manos Peso muerto con barra gruesa,hecho,Flexión,Carga externa,Barra,"gruesa Isquiotibiales, erectores espinales, glúteos","cuádriceps, dorsal ancho",Sagital,"Levantas una carga pesada). Flexiona las caderas, dobla las rodillas y levanta",https://www.youtube.com/watch?v=UTRCue9rGaE
Sentadilla frontal con barra gruesa,hecho,Sentadilla,Carga externa,Barra,"gruesa Cuádriceps, glúteos, isquiotibiales Pantorrillas, Abdominales erectores espinales, rect",o Sagital en la posición de rack,Frontal,"Las rodillas hacia adelante y hacia afuera mientras llevas las caderas hacia atrás y hacia abajo hasta tu profundidad cómoda, manteniendo la columna vertebral vertical en todo momento. Luego, con control, b",https://www.youtube.com/watch?v=h8b8IfygQac
Press con barra de eje,hecho,Empuje,Carga externa,Barra,"de eje Deltoides anteriores, tríceps Trapecio,",pectoral menor,Sagital,Los nudillos hacia el techo y extiende los brazos y la barra de eje,https://www.youtube.com/watch?v=BwydffJ1oS0
Sostén de yugo en rack trasero,hecho,Núcleo,Carga externa,Barra,"de yugo Recto abdominal, dorsal ancho Glúteos, isquiotibiales, Dorsal, trapecio, erectore",s Cuádriceps,Sagital,Erguido y levanta el rack del suelo y mantén esta posición cargada externamente,https://www.youtube.com/watch?v=xaOgMEYRAag
Caminata con yugo en rack trasero,hecho,Núcleo,Carga externa,Barra,"de yugo Núcleo, cuádriceps, glúteos Dorsal Deltoides ancho,","anteriores erectores espinales,",Sagital,"Erguido y levanta el rack del suelo. Luego, con control, camina",https://www.youtube.com/watch?v=QY3p0qgB8cg
Back Squat,hecho,Sentadilla,Carga externa,Barra,"Cuádriceps, glúteos, isquiotibiales Gemelos,","Abdominales erectores espinales, recto",Sagital,Llevando las rodillas hacia adelante y hacia afuera mientras mantienes la espalda recta.,https://www.youtube.com/watch?v=KALH2cf29w8
Back Supported Alternating Dumbbell Shoulder Press,hecho,Empuje,Carga externa,Mancuerna,"Deltoides anteriores, tríceps Trapecio,",pectoral,Sagital,"Mancuernas justo por encima de los hombros y los codos flexionados. Para iniciar el movimiento, comienza elevando una mancuerna por encima de la cabeza y lentamente lo Ejercicio Estado Patrón Tipo Implementación principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=VxTdZWGiWRo
Back Supported Dumbbell Shoulder Press,hecho,Empujar,Carga externa,Mancuerna,"Deltoides anteriores, tríceps Recto abdominal",Rectus Abdominis,Sagital,Justo por encima de los hombros y con los codos doblados.,https://www.youtube.com/watch?v=NZtnoU301Qk
Back Supported Kettlebell Shoulder Press,hecho,Empujar,Carga externa,Pesa rusa,"Deltoides anteriores, tríceps Trapecio,",Pectoral mayor,Sagital,"Posición de rack cerca de los hombros. Para iniciar el movimiento, begi",https://www.youtube.com/watch?v=rg0s9S5e44Y
Similar a la Carrera hacia atrás,hecho,Locomoción,Peso corporal,Ninguno,"Cuádriceps, pantorrillas Isquiotibiales",Hamstrings,Sagital,"Pies, la carrera hacia atrás se realiza a un ritmo más rápido.",https://www.youtube.com/watch?v=wA3aDIcAU6Q
Para iniciar el Caminata hacia atrás,hecho,Locomoción,Peso corporal,Ninguno,"Cuádriceps, pantorrillas Isquiotibiales",,Sagital,RuIGN5sGM,https://www.youtube.com/watch?v=J
Band Assisted Glute Ham Raise,hecho,Jalar,Carga externa,GHD,"Isquiotibiales, glúteos, pantorrillas Erector Spinae",Erector Spinae,Sagital,"Hombros. Empezando en una posición alta de rodillas, con la banda en su lugar, tú’",https://www.youtube.com/watch?v=TgeiXPgrx3Q
Band Pull Apart,hecho,Tirar,Carga externa,Banda,"Deltoides, Latissimo Dorsi Tríceps Transverso con los brazos extendidos. Para iniciar el movimiento",comienza a retraer el,,"Escápulas y tira de las manos en un arco ancho hacia los lados, manteniendo los brazos rectos y un",https://www.youtube.com/watch?v=cWYVl3WFVb8
Band Pull Through,hecho,Doblar,Carga externa,Banda,"Glúteos, Isquiotibiales Peequeños de pantorrilla","Erector de la glúteos y frente al cuerpo donde las manos tomarán un agarre neutral columna,",Sagital,"Pasos alejándote de la barra para empezar con un poco de tensión. Para iniciar el mo Las A incorporadas comienzan con una banda enrollada alrededor de una barra vertical a aproximadamente nivel de pecho. Agarra los extremos de la banda en cada mano, manteniendo un neutral A incorporadas",https://www.youtube.com/watch?v=6P8gi9vRrS0
Banded A's,hecho,Jalar,Carga externa,Banda,"Deltoides, Latissimo Dorsal Tríceps,",Romboides,Sagital,"Forma de 'A', tirarás de las bandas hacia atrás y hacia abajo por los costados, y vendrás más ancho que donde comenzaste. Regresa a la posición inicial El squat de aire con banda requiere dos bandas. Llevarás cada una como una ‘cintura’ Sentadilla de aire con banda",https://www.youtube.com/watch?v=jjleeeQ5vig
Sentadilla de aire con banda,hecho,Sentadilla,Carga externa,Banda,"Cuádriceps, Flexores Isquiotibiales, Cadera Pantorrillas en eso envolverás una banda alrededor de un pie y alrededor del cuerpo en",Calves,Sagital,"Pie, y sobre los hombros opuestos, de modo que se vea como una forma de X",https://www.youtube.com/watch?v=GmjyMFHJDEQ
Banded Bar Muscle-Up,re-film,Jalar,Carga externa,Barra de dominadas,"Latísimo Dorsal, Anterior Deltoides, Tríceps Bíceps",Biceps,Sagital,"Band. Para iniciar el movimiento, al igual que una dominada, comience a tirar del parte inferior del Press de banco con bandas requiere dos bandas sujetas a cada extremo de la barra. Con un lazo que rodea el extremo de la barra y otro lazo Press de banco con bandas",https://www.youtube.com/watch?v=QuvrFa-Hd-c
Con un lazo que rodea el extremo de la barra y otro lazo Press de banco con bandas,hecho,Empuje,Carga externa,barra,"Pectoral, Tríceps Deltoides anteriores, Pec menor, Serrato anterior",,Sagital,"AIx8 en cualquiera de los extremos de la barra y anclado a mancuernas, comience igual que un press de banca con barra normal. Las manos deben estar a aproximadamente la anchura de los hombros separadas a",https://www.youtube.com/watch?v=Zv8k9n
Las manos deben estar a aproximadamente la anchura de los hombros separadas a,hecho,Jalar,Carga externa,Bandas,"Dorsal ancho, Posterior Deltoides, Romboides Trapecio","Serrato posterior Transverso agarre posición neutro. de bisagra De pie (o inclinada) sobre la kettlebell, doblando la bajarás cintura a para una acercar posición el alta pecho",,Hacia el suelo manteniendo la columna recta. Para iniciar el movimiento,https://www.youtube.com/watch?v=pM8FoGg0lMk
Empiece a girar en la Remo con banda inclinado,hecho,Jalar,Carga externa,Bandas,"Bíceps, Latísimo Dorsi Dorsal ancho,",Erector de la columna,Sagital,"Eleva las bandas hacia la caja torácica y aprieta. Luego, con control, baja la mano con banda Curls de bíceps con banda inician en una posición de pie neutral alta, con una Curl de bíceps con banda",https://www.youtube.com/watch?v=Bs0GE7Z1uo4
